cell,tsne_x,tsne_y,cluster
"Ute_PCP1",-0.131401932532087,0.242513983553483,2
"Ute_PCP2",-0.172994418535804,0.421944074920457,2
"Ute_PCP3",1.93220536169091,3.22550721216195,2
"Ute_PCP4",1.80829029266284,3.04586707192922,2
"Co_PCP_100_Epit",-2.40607943109897,-7.72826636924084,4
"Co_PCP_200_Epit",-2.77628693592731,-7.43289376603499,4
"Co_PCP_2k_FACS_1",2.56366032800158,-1.29917798827227,3
"Co_PCP_2k_FACS_3",2.53178677559382,-1.23633465074321,3
"Co_P1_FA_GFP_0",3.0258177660015,-2.13889640185286,3
"Co_P1_FA_GFP_8",4.70786090183125,-0.879957067798675,3
"Ute_P1_Neg_0",3.49861227596086,3.80121324685681,2
"Ute_P1_Neg_5",-3.13340501091653,-0.824098500173694,2
"Ute_P1_GFP_3",4.16955646147112,7.50583717513481,2
"Co_P1_FA_GFP_1",4.26457347586619,-2.62212362206038,3
"Co_P1_FA_GFP_9",3.4041222920292,-2.5469026843297,3
"Ute_P1_GFP_0",1.49934184782704,5.48510852812896,2
"Ute_P1_tdTom_3",2.60465130601814,4.59455055079933,2
"Ute_P1_tdTom_7",-1.20260533225323,1.45465833013598,1
"Ute_P1_GFP_4",0.321176049657939,3.211661028719,1
"Co_P1_FA_GFP_2",0.801133898663388,0.0479992491601241,1
"Ute_P1_tdTom_2",-4.16643149378992,3.54097296627229,1
"Ute_P1_Neg_2",4.36654710152068,7.83447618500643,2
"Ute_P1_Neg_6",3.83174798102131,4.57306426437001,2
"Ute_P1_tdTom_11",-2.61813316026787,1.91151713030992,1
"Co_P1_FA_GFP_3",2.75633786367335,-0.280403256185263,3
"Co_P1_FA_GFP_95",0.906609686401694,-2.04562949677696,3
"Ute_P1_tdTom_4",-4.57039142696793,2.98201221030543,1
"Ute_P1_Neg_7",2.32575830520343,3.05302790274481,2
"Ute_P1_GFP_5",-2.9581171201249,0.627942897456769,1
"Co_P1_FA_GFP_4",3.71568302166945,-3.43316609347451,3
"Co_P1_FA_GFP_11",3.3386325824369,-0.693252673419988,3
"Ute_P1_tdTom_5",-1.97368960081845,0.755267814192022,1
"Ute_P1_tdTom_8",-2.51935106259135,4.20688776130018,1
"Ute_P1_tdTom_12",-0.852531016163398,5.69108809659079,1
"Co_P1_FA_GFP_5",3.85578998668897,-2.32340511184252,3
"Ute_P1_Neg_36",1.92712683306786,1.18444896509964,2
"Ute_P1_GFP_1",3.23353420741338,5.47537862000351,2
"Ute_P1_Neg_3",4.14893605249199,7.46217982631138,2
