"","x"
"1",2
"2",2
"3",2
"4",2
"5",3
"6",3
"7",4
"8",4
"9",4
"10",4
"11",2
"12",2
"13",2
"14",1
"15",4
"16",2
"17",2
"18",1
"19",1
"20",1
"21",1
"22",2
"23",2
"24",1
"25",4
"26",1
"27",1
"28",2
"29",1
"30",4
"31",4
"32",1
"33",1
"34",1
"35",4
"36",2
"37",2
"38",2
"39",1
"40",1
"41",4
"42",2
"43",2
"44",1
"45",1
"46",2
"47",4
"48",1
"49",1
"50",2
"51",6
"52",2
"53",1
"54",1
"55",1
"56",2
"57",2
"58",1
"59",1
"60",2
"61",2
"62",2
"63",2
"64",2
"65",6
"66",2
"67",1
"68",1
"69",2
"70",2
"71",2
"72",1
"73",2
"74",1
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",1
"82",2
"83",2
"84",2
"85",2
"86",2
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",6
"96",1
"97",2
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",2
"107",1
"108",1
"109",2
"110",2
"111",1
"112",1
"113",6
"114",6
"115",2
"116",1
"117",1
"118",1
"119",2
"120",1
"121",2
"122",2
"123",1
"124",1
"125",2
"126",2
"127",1
"128",2
"129",1
"130",1
"131",1
"132",2
"133",6
"134",2
"135",1
"136",1
"137",2
"138",1
"139",6
"140",2
"141",1
"142",2
"143",1
"144",1
"145",1
"146",2
"147",2
"148",1
"149",2
"150",2
"151",1
"152",1
"153",6
"154",1
"155",2
"156",2
"157",1
"158",1
"159",1
"160",2
"161",6
"162",1
"163",1
"164",2
"165",2
"166",1
"167",1
"168",2
"169",1
"170",2
"171",2
"172",6
"173",1
"174",2
"175",1
"176",2
"177",2
"178",2
"179",1
"180",1
"181",3
"182",3
"183",1
"184",3
"185",3
"186",3
"187",1
"188",3
"189",3
"190",1
"191",3
"192",3
"193",3
"194",3
"195",3
"196",1
"197",3
"198",3
"199",4
"200",3
"201",3
"202",3
"203",4
"204",1
"205",3
"206",3
"207",3
"208",3
"209",3
"210",1
"211",1
"212",1
"213",1
"214",4
"215",4
"216",5
"217",5
"218",5
"219",4
"220",1
"221",4
"222",5
"223",4
"224",4
"225",1
"226",4
"227",5
"228",5
"229",5
"230",4
"231",1
"232",1
"233",1
"234",5
"235",4
"236",1
"237",5
"238",4
"239",4
"240",5
"241",4
"242",1
"243",4
"244",1
"245",4
"246",5
"247",4
"248",1
"249",5
"250",1
"251",1
"252",4
"253",1
"254",4
"255",4
"256",4
"257",1
"258",1
"259",0
"260",3
"261",3
"262",4
"263",3
"264",1
"265",3
"266",3
"267",4
"268",3
"269",3
"270",1
"271",1
"272",3
"273",3
"274",3
"275",4
"276",3
"277",3
"278",3
"279",3
"280",1
"281",1
"282",1
"283",1
"284",1
"285",3
"286",3
"287",3
"288",1
"289",1
"290",3
"291",3
"292",2
"293",3
"294",1
"295",3
"296",3
"297",1
"298",1
"299",1
"300",3
"301",3
"302",1
"303",3
"304",4
"305",4
"306",3
"307",3
"308",4
"309",1
"310",1
"311",3
"312",4
"313",1
"314",1
"315",3
"316",3
"317",5
"318",3
"319",3
"320",1
"321",4
